family,suffix,feature,n,n_tickers,ic21,ic63,ic126,median_per_ticker_ic21,same_sign_share,abs21,abs63,abs126,multi_horizon_avg,quality
f21_grid_capex_cycle,base_001_075,f21gcc_f21_grid_capex_cycle_capex_intensity_63p420s_z_w_base_v061_signal,121831,19,-0.0108564117650424,-0.0244730391461364,-0.018938694667943,-0.0075226077268945,0.631578947368421,0.0108564117650424,0.0244730391461364,0.018938694667943,0.018089381859707265,0.015553782817263872
f22_grid_revenue_growth,2nd_derivatives_001_150,f22grg_f22_grid_revenue_growth_revenue_growth_5p252s_slope_pct_ema_slope_v088_signal,9677,19,0.024265610036055,0.0064539197595482,0.0117756913930844,0.0242309998251796,0.5789473684210527,0.024265610036055,0.0064539197595482,0.0117756913930844,0.014165073729562534,0.01551605031227495
f47_hidden_renewable_compounder,3rd_derivatives_001_150,f47hrc_f47_hidden_renewable_compounder_qf_fcf_294d_s00_jw21_jerk_v127_signal,121827,19,0.0070061324933349,0.0317491466158993,0.0169360208358724,0.0022040002117231,0.5789473684210527,0.0070061324933349,0.0317491466158993,0.0169360208358724,0.018563766648368868,0.015476027402958432
f36_utility_leverage_cycle,3rd_derivatives_001_150,f36ulc_f36_utility_leverage_cycle_p0_meanw_252d_jerk_v104_signal,121831,19,0.0215449715649019,-0.0108477588727347,-0.0047303895967597,0.0158045655368802,0.8947368421052632,0.0215449715649019,0.0108477588727347,0.0047303895967597,0.012374373344798767,0.01547343670047933
f35_regulatory_subsidy_cycle,2nd_derivatives_001_150,f35rsc_f35_regulatory_subsidy_cycle_p0_xsgncls_dn63_5d_slope_v105_signal,7740,19,-0.0185071313125434,0.0048054640427794,-0.0342050081331762,-0.0108390165696815,0.5263157894736842,0.0185071313125434,0.0048054640427794,0.0342050081331762,0.019172534496166335,0.015436332271975774
f07_utility_efficiency,3rd_derivatives_001_150,f07uef_f07_utility_efficiency_efftrend_252d_jerk_w63_s2_jerk_v114_signal,114834,19,-0.0014793154943166,-0.0259314045164806,-0.0461773741001691,0.006082294439923,0.4736842105263157,0.0014793154943166,0.0259314045164806,0.0461773741001691,0.024529364703655434,0.01540286292650289
f07_utility_efficiency,3rd_derivatives_001_150,f07uef_f07_utility_efficiency_opexint_252d_jerk_w42_s0_jerk_v055_signal,114895,19,-0.0123351175879117,0.0115750401809165,0.0375752187939972,-0.0203417730413303,0.6842105263157895,0.0123351175879117,0.0115750401809165,0.0375752187939972,0.020495125520941803,0.015308814503088042
f37_utility_debt_capacity,3rd_derivatives_001_150,f37udc_f37_utility_debt_capacity_p0_meanw_126d_jerk_v092_signal,121831,19,0.0206500761254041,-0.0103196483684136,-0.006081763463412,0.0197252059464488,0.8947368421052632,0.0206500761254041,0.0103196483684136,0.006081763463412,0.012350495985743233,0.015039647065449122
f43_renewable_capital_efficiency,2nd_derivatives_001_150,f43rce_f43_renewable_capital_efficiency_atologxcr10d_slope_v134_signal,121606,19,-0.0114187408908063,-0.0191430698480612,-0.0203869396106421,-0.0140462195343557,0.7894736842105263,0.0114187408908063,0.0191430698480612,0.0203869396106421,0.016982916783169866,0.01472067756835373
f33_clean_energy_winter,3rd_derivatives_001_150,f33cew_f33_clean_energy_winter_p0_xmcls_jk25_10d_jerk_v038_signal,6332,18,-0.0116095068174818,-0.0187308142961104,-0.0230378007570301,-0.00702871988292,0.5555555555555556,0.0116095068174818,0.0187308142961104,0.0230378007570301,0.017792707290207432,0.014686176030837172
f21_grid_capex_cycle,3rd_derivatives_001_150,f21gcc_f21_grid_capex_cycle_capex_intensity_63p21s_jerk_mean_jerk_v023_signal,121831,19,0.0212782692767686,0.0128836303789098,0.0017766996527238,0.0273348077489227,0.631578947368421,0.0212782692767686,0.0128836303789098,0.0017766996527238,0.011979533102800732,0.014658737809035448
f44_utility_earnings_quality,2nd_derivatives_001_150,f44ueq_f44_utility_earnings_quality_accmeanxcr10d_slope_v032_signal,121606,19,-0.0112229603294725,-0.0185865334463981,-0.0211275399250587,-0.0075747701362226,0.7894736842105263,0.0112229603294725,0.0185865334463981,0.0211275399250587,0.016979011233643104,0.014563309930325822
f28_power_pricing_dynamics,2nd_derivatives_001_150,f28ppd_f28_power_pricing_dynamics_pricing_dynamics_189d_t126s0d63_slope_v135_signal,121831,19,-0.0138656811979966,-0.0192920579183,-0.012629400123037,-0.01098083184697,0.631578947368421,0.0138656811979966,0.0192920579183,0.012629400123037,0.015262379746444532,0.01454189072348071
f19_clean_energy_runway,3rd_derivatives_001_150,f19cer_f19_clean_energy_runway_p1_mean21_xstd63_5d_d63_jerk_v035_signal,121737,19,0.0100482943517303,-0.0199684572059554,-0.0248266191848531,-0.0005653137771427,0.4736842105263157,0.0100482943517303,0.0199684572059554,0.0248266191848531,0.018281123580846267,0.014447805536777016
f08_utility_payout_durability,2nd_derivatives_001_150,f08upd_f08_utility_payout_durability_pfloor_21d_slope_pct_w21_s0_slope_v004_signal,118119,19,-0.0155366106043388,-0.0171659874480539,-0.0105908624490854,-0.0088823641364954,0.631578947368421,0.0155366106043388,0.0171659874480539,0.0105908624490854,0.0144311535004927,0.014424959269188702
f02_allowed_roe_proxy,2nd_derivatives_001_150,f02arp_f02_allowed_roe_proxy_proxyz_63d_slope_v062_signal,121831,19,-0.0158274415058238,-0.015952055494163,-0.0105634272674462,-0.0184434237109499,0.6842105263157895,0.0158274415058238,0.015952055494163,0.0105634272674462,0.014114308089144332,0.014325502653135161
f21_grid_capex_cycle,base_076_150,f21gcc_f21_grid_capex_cycle_capex_intensity_63p10s_diff_w_base_v104_signal,121831,19,0.0210161256676101,0.0035551068321883,0.0179294151371833,0.0135906947998536,0.6842105263157895,0.0210161256676101,0.0035551068321883,0.0179294151371833,0.014166882545660566,0.014319312747901169
f21_grid_capex_cycle,base_076_150,f21gcc_f21_grid_capex_cycle_capex_intensity_63p252s_diff_w_base_v110_signal,121831,19,-0.0111042191068012,-0.0220127893009135,-0.0155421228159952,-0.0021957502806885,0.5263157894736842,0.0111042191068012,0.0220127893009135,0.0155421228159952,0.0162197104079033,0.014253491732246536
f03_utility_capex_intensity,base_076_150,f03uci_f03_utility_capex_intensity_dynxretpct_252d_base_v111_signal,121831,19,-0.0153666530019591,-0.014979268422529,-0.0135538369955691,-0.0138360076478212,0.6842105263157895,0.0153666530019591,0.014979268422529,0.0135538369955691,0.014633252806685733,0.014250621137605089
