family,suffix,feature,n,ic21,ic63
f06_same_store_sales_proxy,base_001_075,f06sss_f06_same_store_sales_proxy_sss_gstd_42d_base_v074_signal,64323,-0.0005960917004316244,-0.024149743103693534
f06_same_store_sales_proxy,base_001_075,f06sss_f06_same_store_sales_proxy_rpp_ema_504d_base_v040_signal,64122,-0.005411055672132749,-0.02231222541515051
f06_same_store_sales_proxy,base_076_150,f06sss_f06_same_store_sales_proxy_compsc_xcapex_189d_base_v147_signal,64039,0.030132007778345196,0.0737119464459877
f06_same_store_sales_proxy,base_076_150,f06sss_f06_same_store_sales_proxy_sss_gema_378d_base_v099_signal,64122,-0.019017578852319292,-0.03651463071969023
f06_same_store_sales_proxy,2nd_derivatives_001_150,f06sss_f06_same_store_sales_proxy_rpp_z_189d_slope_v027_signal,64018,-0.003063111952071337,-0.011692590704374613
f06_same_store_sales_proxy,2nd_derivatives_001_150,f06sss_f06_same_store_sales_proxy_compsc_xcapex_378d_slope_v149_signal,63976,0.023692943832640423,0.044441637973371986
f06_same_store_sales_proxy,3rd_derivatives_001_150,f06sss_f06_same_store_sales_proxy_compsc_xcapex_189d_jerk_v147_signal,64019,0.00832331007318488,0.009585050964775492
f06_same_store_sales_proxy,3rd_derivatives_001_150,f06sss_f06_same_store_sales_proxy_rpp_diff_378d_jerk_v049_signal,63752,-0.010299822069189446,-0.007740771116512285
f07_store_rollout_signature,base_001_075,f07srs_f07_store_rollout_signature_capi_diff_252d_base_v048_signal,70369,-0.011889560278146857,-0.038445725181983435
f07_store_rollout_signature,base_001_075,f07srs_f07_store_rollout_signature_capi_std_21d_base_v013_signal,70810,-0.011053516286178414,-0.036815305603405964
f07_store_rollout_signature,base_076_150,f07srs_f07_store_rollout_signature_dyn_xppe_126d_base_v146_signal,70369,0.04315835749958299,0.073788800652874
f07_store_rollout_signature,base_076_150,f07srs_f07_store_rollout_signature_pulse_ema_42d_base_v084_signal,69568,0.01814399590286902,0.025328569935393265
f07_store_rollout_signature,2nd_derivatives_001_150,f07srs_f07_store_rollout_signature_dyn_xppe_63d_slope_v145_signal,59177,-0.037957901095927365,-0.03399806003834692
f07_store_rollout_signature,2nd_derivatives_001_150,f07srs_f07_store_rollout_signature_capi_std_126d_slope_v016_signal,69455,-0.021575069334868243,-0.020590060542586778
f07_store_rollout_signature,3rd_derivatives_001_150,f07srs_f07_store_rollout_signature_dyn_std_252d_jerk_v128_signal,8727,0.05713609919679563,0.0015419486953105147
f08_retail_inventory_freshness,base_001_075,f08rif_f08_retail_inventory_freshness_fresh_mean_378d_base_v069_signal,70454,-0.013695469985134746,-0.02878047909458137
f08_retail_inventory_freshness,base_001_075,f08rif_f08_retail_inventory_freshness_fresh_63d_base_v055_signal,70422,0.00633301539174279,0.0109557912218023
f08_retail_inventory_freshness,base_076_150,f08rif_f08_retail_inventory_freshness_velo_mean_126d_base_v116_signal,70373,0.012104376239838323,0.0006257787939071727
f08_retail_inventory_freshness,base_076_150,f08rif_f08_retail_inventory_freshness_velo_xrev_63d_base_v135_signal,70389,0.0038354357873879043,0.011018269705420847
f08_retail_inventory_freshness,2nd_derivatives_001_150,f08rif_f08_retail_inventory_freshness_velo_xinv_504d_slope_v150_signal,68669,-0.010520708284940849,-0.01762200103142887
f08_retail_inventory_freshness,2nd_derivatives_001_150,f08rif_f08_retail_inventory_freshness_velo_mean_189d_slope_v117_signal,70329,-0.030182199251637298,-0.01828809827143004
f08_retail_inventory_freshness,3rd_derivatives_001_150,f08rif_f08_retail_inventory_freshness_fresh_ema_21d_jerk_v093_signal,70533,-0.015888421339860487,0.0016112373994503623
f08_retail_inventory_freshness,3rd_derivatives_001_150,f08rif_f08_retail_inventory_freshness_fresh_std_189d_jerk_v077_signal,70430,0.013377880117792082,0.0059602503639955865
f09_retail_capex_per_store,base_001_075,f09rcs_f09_retail_capex_per_store_c2p_ema_10d_base_v032_signal,64122,0.0054701891395184275,0.011934564587967267
f09_retail_capex_per_store,base_001_075,f09rcs_f09_retail_capex_per_store_c2p_z_42d_base_v024_signal,52934,0.01677262118148778,0.018787171329603978
f09_retail_capex_per_store,base_076_150,f09rcs_f09_retail_capex_per_store_csr_189d_base_v107_signal,64122,0.0052763278014919856,0.011898769370501293
f09_retail_capex_per_store,base_076_150,f09rcs_f09_retail_capex_per_store_renew_ema_126d_base_v086_signal,64122,0.010458129149840187,0.026039710353984107
f09_retail_capex_per_store,2nd_derivatives_001_150,f09rcs_f09_retail_capex_per_store_csr_diff_252d_slope_v148_signal,64122,0.010690409913979957,0.04340590199167838
f09_retail_capex_per_store,2nd_derivatives_001_150,f09rcs_f09_retail_capex_per_store_renew_z_189d_slope_v077_signal,63976,-0.0015670295329104059,0.021503630575462666
f09_retail_capex_per_store,3rd_derivatives_001_150,f09rcs_f09_retail_capex_per_store_csr_xdep_63d_jerk_v135_signal,63885,0.057576466377617395,0.03763580436672707
f09_retail_capex_per_store,3rd_derivatives_001_150,f09rcs_f09_retail_capex_per_store_csr_z_189d_jerk_v127_signal,64122,-0.013030995507670336,-0.01528115541846873
f10_retail_comp_dynamics,base_001_075,f10rcd_f10_retail_comp_dynamics_dur_ema_42d_base_v044_signal,64122,-0.028659333462981183,-0.06192779945631856
f10_retail_comp_dynamics,base_001_075,f10rcd_f10_retail_comp_dynamics_floor_126d_base_v058_signal,63916,-0.03577344034771873,-0.057585881333628165
f10_retail_comp_dynamics,base_076_150,f10rcd_f10_retail_comp_dynamics_stab_mean_10d_base_v112_signal,21306,-0.004544248357373632,-0.01939699447344594
f10_retail_comp_dynamics,base_076_150,f10rcd_f10_retail_comp_dynamics_floor_z_63d_base_v085_signal,53088,0.024794363604082513,0.040054848351937025
f10_retail_comp_dynamics,2nd_derivatives_001_150,f10rcd_f10_retail_comp_dynamics_dur_z_5d_slope_v031_signal,61010,-0.028524763365576255,-0.016853915081945118
f10_retail_comp_dynamics,3rd_derivatives_001_150,f10rcd_f10_retail_comp_dynamics_stab_252d_jerk_v108_signal,70533,0.02267377229868998,0.01560299723960256
f10_retail_comp_dynamics,3rd_derivatives_001_150,f10rcd_f10_retail_comp_dynamics_dur_ema_21d_jerk_v043_signal,64122,-0.017357321054788162,0.004847555480047421
f11_restaurant_unit_economics,base_001_075,f11rue_f11_restaurant_unit_economics_epa_sclose_5d_base_v044_signal,70454,-0.01904850882567381,-0.03643982244298534
f11_restaurant_unit_economics,base_001_075,f11rue_f11_restaurant_unit_economics_rpa_sclose_63d_base_v020_signal,70454,-0.02337965169459684,-0.057419259899846205
f11_restaurant_unit_economics,base_076_150,f11rue_f11_restaurant_unit_economics_rpasd7_504d_base_v138_signal,70533,-0.012102253851956422,-0.019261648997948872
f11_restaurant_unit_economics,base_076_150,f11rue_f11_restaurant_unit_economics_rpaz8_10d_base_v129_signal,26164,0.010440738734421822,-0.014199883769428892
f11_restaurant_unit_economics,2nd_derivatives_001_150,f11rue_f11_restaurant_unit_economics_rpa_w21_5d_slope_v011_signal,70449,-0.013712942362316398,-0.03488010255562316
